rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,delay,factorized_checkin_type,factorized_state,factorized_delay
548300.0,393950.0,mobile,ended,-118.0,,,0- No delay,0,0,0
505617.0,375834.0,mobile,ended,-54.0,,,0- No delay,0,0,0
552709.0,255377.0,connect,ended,-201.0,,,0- No delay,1,0,0
548325.0,403206.0,mobile,ended,-30.0,,,0- No delay,0,0,0
548677.0,405347.0,mobile,ended,-20.0,,,0- No delay,0,0,0
550325.0,342208.0,mobile,ended,-74.0,,,0- No delay,0,0,0
548726.0,397569.0,connect,ended,-111.0,546439.0,60.0,0- No delay,1,0,0
548893.0,389994.0,mobile,ended,-86.0,,,0- No delay,0,0,0
549154.0,360289.0,mobile,ended,-322.0,,,0- No delay,0,0,0
549316.0,259392.0,mobile,ended,-43.0,,,0- No delay,0,0,0
564228.0,350374.0,connect,ended,-106.0,,,0- No delay,1,0,0
549719.0,314307.0,mobile,ended,-25.0,,,0- No delay,0,0,0
549813.0,375126.0,connect,ended,-58.0,,,0- No delay,1,0,0
549822.0,409411.0,mobile,ended,-20.0,,,0- No delay,0,0,0
551791.0,291982.0,mobile,ended,-118.0,,,0- No delay,0,0,0
564220.0,409908.0,mobile,ended,-50.0,,,0- No delay,0,0,0
551714.0,396183.0,mobile,ended,-729.0,,,0- No delay,0,0,0
551678.0,365926.0,connect,ended,-202.0,,,0- No delay,1,0,0
552537.0,379208.0,mobile,ended,-2.0,,,0- No delay,0,0,0
550208.0,264277.0,mobile,ended,-49.0,,,0- No delay,0,0,0
549908.0,284054.0,mobile,ended,-3.0,,,0- No delay,0,0,0
549457.0,407389.0,mobile,ended,-588.0,,,0- No delay,0,0,0
538974.0,376462.0,mobile,ended,-2.0,,,0- No delay,0,0,0
551601.0,291932.0,connect,ended,-44.0,,,0- No delay,1,0,0
556312.0,409646.0,mobile,ended,-146.0,,,0- No delay,0,0,0
556277.0,409615.0,mobile,ended,-29.0,,,0- No delay,0,0,0
572871.0,381435.0,mobile,ended,-20.0,571546.0,60.0,0- No delay,0,0,0
573878.0,407465.0,connect,ended,-18.0,,,0- No delay,1,0,0
573905.0,394272.0,mobile,ended,-100.0,,,0- No delay,0,0,0
556199.0,410649.0,mobile,ended,-31.0,,,0- No delay,0,0,0
543933.0,311707.0,connect,ended,-32.0,,,0- No delay,1,0,0
544176.0,371159.0,connect,ended,-100.0,,,0- No delay,1,0,0
551204.0,289496.0,connect,ended,-10.0,,,0- No delay,1,0,0
551273.0,398247.0,mobile,ended,-6.0,550197.0,630.0,0- No delay,0,0,0
556016.0,338584.0,connect,ended,-49.0,,,0- No delay,1,0,0
544433.0,359049.0,connect,ended,-110.0,,,0- No delay,1,0,0
555922.0,364922.0,connect,ended,-11.0,,,0- No delay,1,0,0
550545.0,314456.0,connect,ended,-38.0,,,0- No delay,1,0,0
544638.0,410079.0,mobile,ended,-17.0,,,0- No delay,0,0,0
551738.0,407296.0,mobile,ended,-323.0,,,0- No delay,0,0,0
551772.0,281341.0,mobile,ended,-110.0,,,0- No delay,0,0,0
550344.0,390729.0,mobile,ended,-139.0,,,0- No delay,0,0,0
551912.0,225795.0,connect,ended,-23.0,567177.0,0.0,0- No delay,1,0,0
552117.0,404542.0,mobile,ended,-5.0,,,0- No delay,0,0,0
552156.0,354494.0,mobile,ended,-63.0,,,0- No delay,0,0,0
556861.0,392241.0,connect,ended,-146.0,,,0- No delay,1,0,0
551849.0,326263.0,mobile,ended,-48.0,,,0- No delay,0,0,0
557213.0,395738.0,mobile,ended,-64.0,,,0- No delay,0,0,0
565847.0,317683.0,mobile,ended,-376.0,,,0- No delay,0,0,0
568275.0,341630.0,mobile,ended,-42.0,559873.0,480.0,0- No delay,0,0,0
568820.0,264513.0,mobile,ended,-46.0,566587.0,120.0,0- No delay,0,0,0
553577.0,381000.0,mobile,ended,-25.0,,,0- No delay,0,0,0
537971.0,345436.0,mobile,ended,-78.0,,,0- No delay,0,0,0
553395.0,339442.0,mobile,ended,-16.0,,,0- No delay,0,0,0
553308.0,368432.0,mobile,ended,-133.0,562021.0,630.0,0- No delay,0,0,0
569556.0,353425.0,connect,ended,-177.0,,,0- No delay,1,0,0
553158.0,376626.0,mobile,ended,-93.0,,,0- No delay,0,0,0
509921.0,284250.0,mobile,ended,-52.0,,,0- No delay,0,0,0
538029.0,397710.0,mobile,ended,-25.0,,,0- No delay,0,0,0
509479.0,276942.0,mobile,ended,-12.0,,,0- No delay,0,0,0
555861.0,361518.0,mobile,ended,-100.0,563287.0,30.0,0- No delay,0,0,0
552849.0,178730.0,mobile,ended,-28.0,,,0- No delay,0,0,0
570155.0,366164.0,connect,ended,-130.0,,,0- No delay,1,0,0
505696.0,329924.0,mobile,ended,-20.0,,,0- No delay,0,0,0
570701.0,375318.0,mobile,ended,-18.0,,,0- No delay,0,0,0
571038.0,341861.0,connect,ended,-152.0,574571.0,540.0,0- No delay,1,0,0
552264.0,376491.0,connect,ended,-15.0,551892.0,30.0,0- No delay,1,0,0
562975.0,344815.0,connect,ended,-181.0,,,0- No delay,1,0,0
552108.0,323762.0,mobile,ended,-6.0,,,0- No delay,0,0,0
565871.0,392479.0,mobile,ended,-278.0,,,0- No delay,0,0,0
551989.0,404496.0,mobile,ended,-72.0,,,0- No delay,0,0,0
571074.0,348526.0,connect,ended,-386.0,,,0- No delay,1,0,0
570082.0,314326.0,mobile,ended,-9.0,,,0- No delay,0,0,0
532405.0,380833.0,mobile,ended,-5.0,538592.0,30.0,0- No delay,0,0,0
552394.0,375539.0,mobile,ended,-86.0,,,0- No delay,0,0,0
555681.0,369542.0,connect,ended,-113.0,,,0- No delay,1,0,0
554623.0,394311.0,mobile,ended,-57.0,,,0- No delay,0,0,0
554436.0,380069.0,mobile,ended,-315.0,,,0- No delay,0,0,0
554665.0,392176.0,mobile,ended,-147.0,,,0- No delay,0,0,0
554682.0,408337.0,mobile,ended,-33.0,,,0- No delay,0,0,0
554412.0,399524.0,connect,ended,-101.0,,,0- No delay,1,0,0
554807.0,382302.0,connect,ended,-138.0,,,0- No delay,1,0,0
553970.0,351829.0,mobile,ended,-81.0,,,0- No delay,0,0,0
553948.0,413094.0,mobile,ended,-275.0,,,0- No delay,0,0,0
554885.0,402767.0,mobile,ended,-13.0,556984.0,660.0,0- No delay,0,0,0
554965.0,412566.0,mobile,ended,-22.0,,,0- No delay,0,0,0
553799.0,390467.0,connect,ended,-29.0,,,0- No delay,1,0,0
545766.0,169177.0,mobile,ended,-142.0,,,0- No delay,0,0,0
539307.0,347950.0,mobile,ended,-185.0,,,0- No delay,0,0,0
548697.0,389033.0,mobile,ended,-4.0,,,0- No delay,0,0,0
545971.0,273535.0,mobile,ended,-85.0,,,0- No delay,0,0,0
554074.0,360460.0,connect,ended,-28.0,,,0- No delay,1,0,0
549116.0,356203.0,mobile,ended,-110.0,538281.0,150.0,0- No delay,0,0,0
549247.0,363387.0,mobile,ended,-65.0,,,0- No delay,0,0,0
553302.0,368432.0,mobile,ended,-104.0,567818.0,570.0,0- No delay,0,0,0
553249.0,384040.0,connect,ended,-42.0,,,0- No delay,1,0,0
546216.0,407334.0,mobile,ended,-100.0,,,0- No delay,0,0,0
553742.0,383499.0,mobile,ended,-23.0,,,0- No delay,0,0,0
553003.0,367632.0,connect,ended,-146.0,,,0- No delay,1,0,0
554626.0,404923.0,mobile,ended,-4.0,,,0- No delay,0,0,0
554641.0,205021.0,mobile,ended,-285.0,,,0- No delay,0,0,0
554676.0,353274.0,mobile,ended,-8.0,,,0- No delay,0,0,0
554960.0,311437.0,mobile,ended,-12.0,,,0- No delay,0,0,0
553006.0,396791.0,connect,ended,-722.0,,,0- No delay,1,0,0
553011.0,285425.0,mobile,ended,-33.0,,,0- No delay,0,0,0
555516.0,385627.0,connect,ended,-18.0,,,0- No delay,1,0,0
553392.0,398152.0,connect,ended,-692.0,,,0- No delay,1,0,0
553516.0,291717.0,mobile,ended,-31.0,,,0- No delay,0,0,0
555273.0,408927.0,mobile,ended,-58.0,,,0- No delay,0,0,0
544880.0,392367.0,connect,ended,-173.0,,,0- No delay,1,0,0
549582.0,403525.0,mobile,ended,-24.0,,,0- No delay,0,0,0
554943.0,353425.0,connect,ended,-7.0,,,0- No delay,1,0,0
549552.0,394259.0,mobile,ended,-146.0,,,0- No delay,0,0,0
549518.0,375553.0,mobile,ended,-86.0,,,0- No delay,0,0,0
552762.0,348351.0,mobile,ended,-207.0,,,0- No delay,0,0,0
549492.0,391882.0,connect,ended,-171.0,,,0- No delay,1,0,0
553659.0,375218.0,mobile,ended,-56.0,,,0- No delay,0,0,0
549271.0,357639.0,mobile,ended,-55.0,,,0- No delay,0,0,0
549245.0,194197.0,mobile,ended,-293.0,,,0- No delay,0,0,0
554091.0,412028.0,mobile,ended,-5.0,,,0- No delay,0,0,0
555772.0,242223.0,mobile,ended,-351.0,,,0- No delay,0,0,0
554683.0,316449.0,mobile,ended,-111.0,,,0- No delay,0,0,0
555684.0,413553.0,mobile,ended,-188.0,,,0- No delay,0,0,0
554348.0,383110.0,connect,ended,-20.0,,,0- No delay,1,0,0
555460.0,413056.0,mobile,ended,-67.0,,,0- No delay,0,0,0
554378.0,284054.0,mobile,ended,-315.0,,,0- No delay,0,0,0
554475.0,410256.0,connect,ended,-130.0,,,0- No delay,1,0,0
553627.0,301438.0,mobile,ended,-22.0,,,0- No delay,0,0,0
547945.0,275007.0,mobile,ended,-10.0,,,0- No delay,0,0,0
550275.0,388604.0,mobile,ended,-23.0,,,0- No delay,0,0,0
543826.0,331838.0,mobile,ended,-86.0,,,0- No delay,0,0,0
547962.0,409069.0,mobile,ended,-1.0,,,0- No delay,0,0,0
558927.0,389565.0,mobile,ended,-81.0,,,0- No delay,0,0,0
548078.0,315303.0,mobile,ended,-7.0,,,0- No delay,0,0,0
534117.0,220877.0,connect,ended,-78.0,,,0- No delay,1,0,0
558811.0,414498.0,mobile,ended,-61.0,,,0- No delay,0,0,0
532939.0,405122.0,mobile,ended,-53.0,,,0- No delay,0,0,0
558639.0,409595.0,mobile,ended,-135.0,,,0- No delay,0,0,0
548314.0,365502.0,mobile,ended,-53.0,,,0- No delay,0,0,0
554204.0,410255.0,connect,ended,-117.0,,,0- No delay,1,0,0
554316.0,374690.0,mobile,ended,-41.0,,,0- No delay,0,0,0
558232.0,187183.0,mobile,ended,-73.0,,,0- No delay,0,0,0
558225.0,337414.0,connect,ended,-328.0,,,0- No delay,1,0,0
558137.0,352749.0,mobile,ended,-568.0,,,0- No delay,0,0,0
530772.0,325423.0,mobile,ended,-20.0,,,0- No delay,0,0,0
554440.0,399524.0,connect,ended,-44.0,,,0- No delay,1,0,0
528135.0,363936.0,mobile,ended,-71.0,524255.0,240.0,0- No delay,0,0,0
554498.0,248889.0,connect,ended,-18.0,559060.0,720.0,0- No delay,1,0,0
554558.0,381123.0,mobile,ended,-13.0,,,0- No delay,0,0,0
554574.0,309912.0,mobile,ended,-13.0,,,0- No delay,0,0,0
557573.0,311943.0,mobile,ended,-3.0,,,0- No delay,0,0,0
554647.0,307227.0,mobile,ended,-2.0,,,0- No delay,0,0,0
554651.0,311707.0,connect,ended,-5.0,,,0- No delay,1,0,0
553717.0,216148.0,connect,ended,-46.0,,,0- No delay,1,0,0
548307.0,404571.0,mobile,ended,-4.0,532798.0,90.0,0- No delay,0,0,0
547862.0,380731.0,mobile,ended,-12.0,,,0- No delay,0,0,0
559099.0,373661.0,mobile,ended,-68.0,,,0- No delay,0,0,0
551580.0,389498.0,mobile,ended,-75.0,,,0- No delay,0,0,0
560195.0,309209.0,connect,ended,-10.0,,,0- No delay,1,0,0
506923.0,211876.0,connect,ended,-279.0,,,0- No delay,1,0,0
547325.0,203773.0,connect,ended,-86.0,,,0- No delay,1,0,0
551675.0,313308.0,mobile,ended,-31.0,,,0- No delay,0,0,0
505173.0,362507.0,connect,ended,-195.0,,,0- No delay,1,0,0
559948.0,300218.0,mobile,ended,-19.0,,,0- No delay,0,0,0
559880.0,321010.0,mobile,ended,-7.0,,,0- No delay,0,0,0
552071.0,409569.0,mobile,ended,-15.0,,,0- No delay,0,0,0
534814.0,404201.0,mobile,ended,-29.0,,,0- No delay,0,0,0
552359.0,304775.0,connect,ended,-118.0,,,0- No delay,1,0,0
559629.0,334822.0,mobile,ended,-44.0,,,0- No delay,0,0,0
552474.0,373547.0,mobile,ended,-153.0,,,0- No delay,0,0,0
552606.0,336902.0,mobile,ended,-90.0,533303.0,600.0,0- No delay,0,0,0
547597.0,381499.0,connect,ended,-20.0,,,0- No delay,1,0,0
552782.0,361482.0,mobile,ended,-4.0,,,0- No delay,0,0,0
559390.0,397599.0,mobile,ended,-159.0,,,0- No delay,0,0,0
553218.0,380859.0,mobile,ended,-30.0,,,0- No delay,0,0,0
534451.0,400181.0,mobile,ended,-61.0,,,0- No delay,0,0,0
547776.0,398855.0,mobile,ended,-53.0,,,0- No delay,0,0,0
547829.0,313602.0,connect,ended,-86.0,,,0- No delay,1,0,0
553595.0,388206.0,mobile,ended,-24.0,513941.0,570.0,0- No delay,0,0,0
548297.0,351162.0,connect,ended,-63.0,,,0- No delay,1,0,0
554704.0,309209.0,connect,ended,-21.0,,,0- No delay,1,0,0
554725.0,406388.0,mobile,ended,-28.0,,,0- No delay,0,0,0
548793.0,393078.0,mobile,ended,-2.0,,,0- No delay,0,0,0
545655.0,360929.0,mobile,ended,-101.0,,,0- No delay,0,0,0
554178.0,385625.0,connect,ended,-35.0,,,0- No delay,1,0,0
548895.0,355179.0,mobile,ended,-73.0,,,0- No delay,0,0,0
554372.0,409595.0,mobile,ended,-10.0,,,0- No delay,0,0,0
545233.0,366371.0,connect,ended,-81.0,517688.0,720.0,0- No delay,1,0,0
548969.0,312348.0,mobile,ended,-850.0,,,0- No delay,0,0,0
549046.0,294107.0,mobile,ended,-4.0,,,0- No delay,0,0,0
549097.0,348551.0,mobile,ended,-15.0,,,0- No delay,0,0,0
549102.0,303010.0,mobile,ended,-237.0,,,0- No delay,0,0,0
544741.0,374290.0,mobile,ended,-36.0,532043.0,180.0,0- No delay,0,0,0
544682.0,275933.0,mobile,ended,-7.0,,,0- No delay,0,0,0
544596.0,319419.0,mobile,ended,-146.0,,,0- No delay,0,0,0
544567.0,194384.0,connect,ended,-14.0,,,0- No delay,1,0,0
555076.0,369845.0,mobile,ended,-22.0,553278.0,690.0,0- No delay,0,0,0
555119.0,408776.0,mobile,ended,-52.0,,,0- No delay,0,0,0
555149.0,364907.0,mobile,ended,-125.0,,,0- No delay,0,0,0
549140.0,379244.0,mobile,ended,-31.0,,,0- No delay,0,0,0
549283.0,331284.0,mobile,ended,-60.0,,,0- No delay,0,0,0
555354.0,293910.0,mobile,ended,-713.0,,,0- No delay,0,0,0
544062.0,369856.0,mobile,ended,-165.0,,,0- No delay,0,0,0
544052.0,409473.0,mobile,ended,-10.0,,,0- No delay,0,0,0
549342.0,388490.0,mobile,ended,-8.0,,,0- No delay,0,0,0
554011.0,373582.0,mobile,ended,-11.0,,,0- No delay,0,0,0
553891.0,383344.0,connect,ended,-27.0,,,0- No delay,1,0,0
573217.0,387753.0,connect,ended,-19.0,,,0- No delay,1,0,0
545871.0,340616.0,connect,ended,-464.0,,,0- No delay,1,0,0
554882.0,411421.0,mobile,ended,-33.0,,,0- No delay,0,0,0
548731.0,332880.0,connect,ended,-89.0,,,0- No delay,1,0,0
548048.0,251447.0,connect,ended,-27.0,,,0- No delay,1,0,0
527346.0,295067.0,mobile,ended,-12.0,,,0- No delay,0,0,0
555329.0,289005.0,mobile,ended,-129.0,,,0- No delay,0,0,0
547201.0,312118.0,mobile,ended,-33.0,,,0- No delay,0,0,0
555530.0,397466.0,mobile,ended,-40.0,,,0- No delay,0,0,0
546832.0,230201.0,connect,ended,-8.0,,,0- No delay,1,0,0
555622.0,347873.0,connect,ended,-154.0,,,0- No delay,1,0,0
525402.0,299670.0,mobile,ended,-32.0,,,0- No delay,0,0,0
551536.0,409801.0,mobile,ended,-13.0,,,0- No delay,0,0,0
574442.0,375621.0,connect,ended,-50.0,,,0- No delay,1,0,0
546670.0,333303.0,mobile,ended,-84.0,,,0- No delay,0,0,0
573837.0,341119.0,connect,ended,-390.0,,,0- No delay,1,0,0
556424.0,386211.0,mobile,ended,-11.0,,,0- No delay,0,0,0
546496.0,403009.0,mobile,ended,-9.0,,,0- No delay,0,0,0
573550.0,371252.0,mobile,ended,-28.0,,,0- No delay,0,0,0
556740.0,310681.0,connect,ended,-74.0,,,0- No delay,1,0,0
546263.0,221830.0,mobile,ended,-21.0,,,0- No delay,0,0,0
573372.0,375882.0,connect,ended,-472.0,,,0- No delay,1,0,0
553695.0,407717.0,mobile,ended,-59.0,,,0- No delay,0,0,0
573240.0,303172.0,mobile,ended,-40.0,,,0- No delay,0,0,0
553739.0,322614.0,mobile,ended,-173.0,,,0- No delay,0,0,0
556170.0,270091.0,mobile,ended,-57.0,,,0- No delay,0,0,0
560512.0,388805.0,mobile,ended,-9.0,,,0- No delay,0,0,0
560574.0,310661.0,mobile,ended,-2.0,,,0- No delay,0,0,0
551492.0,304392.0,connect,ended,-17.0,,,0- No delay,1,0,0
545682.0,281955.0,mobile,ended,-44.0,,,0- No delay,0,0,0
545755.0,410896.0,mobile,ended,-32.0,,,0- No delay,0,0,0
546873.0,380584.0,mobile,ended,-23.0,,,0- No delay,0,0,0
546825.0,261686.0,mobile,ended,-8.0,,,0- No delay,0,0,0
546793.0,373856.0,mobile,ended,-240.0,,,0- No delay,0,0,0
550653.0,369801.0,mobile,ended,-110.0,,,0- No delay,0,0,0
530887.0,406066.0,mobile,ended,-12.0,,,0- No delay,0,0,0
550687.0,366164.0,connect,ended,-139.0,,,0- No delay,1,0,0
545893.0,319225.0,connect,ended,-803.0,,,0- No delay,1,0,0
546537.0,400478.0,mobile,ended,-34.0,,,0- No delay,0,0,0
546533.0,392368.0,connect,ended,-276.0,,,0- No delay,1,0,0
550735.0,362860.0,mobile,ended,-40.0,,,0- No delay,0,0,0
546217.0,341037.0,mobile,ended,-113.0,,,0- No delay,0,0,0
546447.0,395266.0,mobile,ended,-22.0,,,0- No delay,0,0,0
530805.0,309227.0,mobile,ended,-18.0,,,0- No delay,0,0,0
550754.0,403870.0,mobile,ended,-2.0,,,0- No delay,0,0,0
546372.0,410500.0,mobile,ended,-4.0,,,0- No delay,0,0,0
545988.0,397470.0,mobile,ended,-51.0,,,0- No delay,0,0,0
