model_key,mileage,engine_power,fuel,paint_color,car_type,private_parking_available,has_gps,has_air_conditioning,automatic_car,has_getaround_connect,has_speed_regulator,winter_tires,rental_price_per_day,model_key_,fuel_,paint_color_,factorized_model_key,factorized_fuel,factorized_paint_color,factorized_car_type,factorized_private_parking_available,factorized_has_gps,factorized_has_air_conditioning,factorized_automatic_car,factorized_has_getaround_connect,factorized_has_speed_regulator,factorized_winter_tires,factorized_model_key_,factorized_fuel_,factorized_paint_color_
Peugeot,228885,100,diesel,grey,estate,True,True,True,False,False,False,True,77,Peugeot,diesel,grey,1,0,4,2,0,0,1,0,1,1,0,1,0,4
Renault,214613,85,diesel,white,estate,False,True,False,False,False,False,True,91,Renault,diesel,white,3,0,1,2,1,0,0,0,1,1,0,3,0,1
Peugeot,154190,105,diesel,black,estate,False,True,False,False,True,False,True,106,Peugeot,diesel,black,1,0,0,2,1,0,0,0,0,1,0,1,0,0
Citroën,243093,110,diesel,grey,estate,True,False,False,False,False,False,True,37,Citroën,diesel,grey,0,0,4,2,0,1,0,0,1,1,0,0,0,4
Peugeot,79526,105,diesel,white,estate,False,False,False,False,False,False,False,122,Peugeot,diesel,white,1,0,1,2,1,1,0,0,1,1,1,1,0,1
Citroën,169449,135,diesel,brown,estate,True,False,False,False,False,False,True,103,Citroën,diesel,brown,0,0,8,2,0,1,0,0,1,1,0,0,0,8
Renault,157968,120,diesel,grey,estate,True,True,True,False,True,False,True,119,Renault,diesel,grey,3,0,4,2,0,0,1,0,0,1,0,3,0,4
Citroën,161034,120,diesel,black,estate,True,True,False,False,True,True,True,122,Citroën,diesel,black,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Peugeot,197704,100,diesel,brown,estate,False,True,False,False,False,False,True,97,Peugeot,diesel,brown,1,0,8,2,1,0,0,0,1,1,0,1,0,8
Renault,83268,85,diesel,brown,estate,False,True,False,False,True,False,True,111,Renault,diesel,brown,3,0,8,2,1,0,0,0,0,1,0,3,0,8
Citroën,139999,120,diesel,blue,estate,False,True,False,False,True,True,True,122,Citroën,diesel,blue,0,0,5,2,1,0,0,0,0,0,0,0,0,5
Peugeot,139649,105,diesel,white,estate,False,True,False,False,False,False,True,99,Peugeot,diesel,white,1,0,1,2,1,0,0,0,1,1,0,1,0,1
