model_key,mileage,engine_power,fuel,paint_color,car_type,private_parking_available,has_gps,has_air_conditioning,automatic_car,has_getaround_connect,has_speed_regulator,winter_tires,rental_price_per_day,model_key_,fuel_,paint_color_,factorized_model_key,factorized_fuel,factorized_paint_color,factorized_car_type,factorized_private_parking_available,factorized_has_gps,factorized_has_air_conditioning,factorized_automatic_car,factorized_has_getaround_connect,factorized_has_speed_regulator,factorized_winter_tires,factorized_model_key_,factorized_fuel_,factorized_paint_color_
Peugeot,169970,309,petrol,grey,coupe,True,True,False,False,True,False,True,189,Peugeot,petrol,grey,1,1,4,1,0,0,0,0,0,1,0,1,1,4
PGO,122991,170,diesel,green,coupe,True,True,True,False,True,False,True,106,PGO,diesel,others,2,0,9,1,0,0,1,0,0,1,0,2,0,6
Citroën,102178,120,petrol,grey,coupe,True,False,False,False,True,False,True,103,Citroën,petrol,grey,0,1,4,1,0,1,0,0,0,1,0,0,1,4
Renault,173302,210,diesel,grey,coupe,True,True,True,False,True,False,True,139,Renault,diesel,grey,3,0,4,1,0,0,1,0,0,1,0,3,0,4
Citroën,202811,120,diesel,black,coupe,True,False,False,False,True,False,True,88,Citroën,diesel,black,0,0,0,1,0,1,0,0,0,1,0,0,0,0
Citroën,169722,145,diesel,grey,coupe,True,False,False,False,True,False,True,91,Citroën,diesel,grey,0,0,4,1,0,1,0,0,0,1,0,0,0,4
Citroën,129338,135,diesel,blue,coupe,True,True,False,False,True,False,True,113,Citroën,diesel,blue,0,0,5,1,0,0,0,0,0,1,0,0,0,5
Citroën,186950,120,petrol,grey,coupe,True,True,False,False,False,True,True,52,Citroën,petrol,grey,0,1,4,1,0,0,0,0,1,0,0,0,1,4
Peugeot,34463,105,diesel,blue,coupe,False,False,True,False,False,True,True,154,Peugeot,diesel,blue,1,0,5,1,1,1,1,0,1,0,0,1,0,5
Citroën,110818,135,diesel,black,coupe,True,True,True,False,False,False,True,122,Citroën,diesel,black,0,0,0,1,0,0,1,0,1,1,0,0,0,0
Citroën,200510,135,diesel,grey,coupe,True,True,False,False,True,False,True,104,Citroën,diesel,grey,0,0,4,1,0,0,0,0,0,1,0,0,0,4
Renault,161794,190,diesel,black,coupe,True,True,False,True,True,True,True,152,Renault,diesel,black,3,0,0,1,0,0,0,1,0,0,0,3,0,0
Citroën,227832,120,diesel,black,estate,True,False,False,False,False,False,True,73,Citroën,diesel,black,0,0,0,2,0,1,0,0,1,1,0,0,0,0
Peugeot,108245,100,diesel,brown,estate,True,True,True,False,False,False,True,108,Peugeot,diesel,brown,1,0,8,2,0,0,1,0,1,1,0,1,0,8
Renault,221018,135,diesel,black,estate,True,True,False,True,True,False,True,128,Renault,diesel,black,3,0,0,2,0,0,0,1,0,1,0,3,0,0
Peugeot,101658,100,diesel,grey,estate,False,True,False,False,False,False,True,107,Peugeot,diesel,grey,1,0,4,2,1,0,0,0,1,1,0,1,0,4
Citroën,163181,120,diesel,grey,estate,False,False,False,False,False,False,True,91,Citroën,diesel,grey,0,0,4,2,1,1,0,0,1,1,0,0,0,4
Citroën,143180,135,diesel,black,estate,False,True,False,False,True,False,True,114,Citroën,diesel,black,0,0,0,2,1,0,0,0,0,1,0,0,0,0
Renault,146310,85,diesel,black,estate,False,False,False,False,False,False,True,87,Renault,diesel,black,3,0,0,2,1,1,0,0,1,1,0,3,0,0
PGO,107560,190,diesel,grey,estate,False,False,False,False,False,False,False,120,PGO,diesel,grey,2,0,4,2,1,1,0,0,1,1,1,2,0,4
Peugeot,78425,100,diesel,beige,estate,False,True,False,False,False,False,True,113,Peugeot,diesel,beige,1,0,7,2,1,0,0,0,1,1,0,1,0,7
Renault,95078,140,diesel,black,estate,False,False,False,False,False,False,False,146,Renault,diesel,black,3,0,0,2,1,1,0,0,1,1,1,3,0,0
Renault,246424,120,diesel,black,estate,True,True,False,False,False,False,True,77,Renault,diesel,black,3,0,0,2,0,0,0,0,1,1,0,3,0,0
Peugeot,203950,105,diesel,white,estate,False,True,False,False,False,False,True,89,Peugeot,diesel,white,1,0,1,2,1,0,0,0,1,1,0,1,0,1
Renault,158002,85,diesel,white,estate,False,False,False,False,False,False,True,94,Renault,diesel,white,3,0,1,2,1,1,0,0,1,1,0,3,0,1
Peugeot,193476,105,diesel,silver,estate,False,False,False,False,False,False,False,81,Peugeot,diesel,silver,1,0,3,2,1,1,0,0,1,1,1,1,0,3
Renault,135119,85,diesel,white,estate,False,True,False,False,False,False,True,104,Renault,diesel,white,3,0,1,2,1,0,0,0,1,1,0,3,0,1
Renault,199603,120,diesel,blue,estate,True,True,True,False,True,False,True,114,Renault,diesel,blue,3,0,5,2,0,0,1,0,0,1,0,3,0,5
Peugeot,41142,105,diesel,blue,estate,False,False,False,False,False,False,False,135,Peugeot,diesel,blue,1,0,5,2,1,1,0,0,1,1,1,1,0,5
Renault,46738,85,diesel,black,estate,False,False,False,False,False,False,False,120,Renault,diesel,black,3,0,0,2,1,1,0,0,1,1,1,3,0,0
Renault,156627,85,diesel,blue,estate,False,True,False,False,False,False,True,95,Renault,diesel,blue,3,0,5,2,1,0,0,0,1,1,0,3,0,5
Peugeot,146338,105,diesel,black,estate,False,True,False,False,False,False,True,115,Peugeot,diesel,black,1,0,0,2,1,0,0,0,1,1,0,1,0,0
Renault,270884,100,diesel,blue,estate,True,False,False,False,False,False,True,33,Renault,diesel,blue,3,0,5,2,0,1,0,0,1,1,0,3,0,5
Audi,175096,160,diesel,blue,estate,False,False,False,False,False,False,False,81,Audi,diesel,blue,4,0,5,2,1,1,0,0,1,1,1,4,0,5
Citroën,155503,135,diesel,blue,estate,False,True,False,False,False,False,True,110,Citroën,diesel,blue,0,0,5,2,1,0,0,0,1,1,0,0,0,5
Audi,134094,160,diesel,white,estate,False,False,False,False,False,False,False,126,Audi,diesel,white,4,0,1,2,1,1,0,0,1,1,1,4,0,1
Peugeot,156885,100,diesel,grey,estate,False,False,False,False,False,False,True,101,Peugeot,diesel,grey,1,0,4,2,1,1,0,0,1,1,0,1,0,4
Citroën,302525,100,diesel,grey,estate,False,False,False,False,False,False,True,32,Citroën,diesel,grey,0,0,4,2,1,1,0,0,1,1,0,0,0,4
Citroën,181052,120,diesel,black,estate,False,True,False,False,False,False,True,107,Citroën,diesel,black,0,0,0,2,1,0,0,0,1,1,0,0,0,0
Audi,106054,160,diesel,black,estate,False,True,False,False,False,False,True,137,Audi,diesel,black,4,0,0,2,1,0,0,0,1,1,0,4,0,0
Renault,146528,140,diesel,white,estate,True,True,True,False,False,False,True,136,Renault,diesel,white,3,0,1,2,0,0,1,0,1,1,0,3,0,1
Citroën,183403,135,diesel,grey,estate,False,True,False,False,False,False,True,107,Citroën,diesel,grey,0,0,4,2,1,0,0,0,1,1,0,0,0,4
Renault,130852,85,diesel,white,estate,False,False,False,False,False,False,False,88,Renault,diesel,white,3,0,1,2,1,1,0,0,1,1,1,3,0,1
Citroën,186697,135,diesel,white,estate,False,False,False,False,False,False,False,49,Citroën,diesel,white,0,0,1,2,1,1,0,0,1,1,1,0,0,1
Citroën,132746,135,diesel,white,estate,False,False,False,False,False,False,False,109,Citroën,diesel,white,0,0,1,2,1,1,0,0,1,1,1,0,0,1
Citroën,90747,160,diesel,grey,estate,False,False,False,False,False,False,False,106,Citroën,diesel,grey,0,0,4,2,1,1,0,0,1,1,1,0,0,4
Renault,145179,85,diesel,brown,estate,False,True,False,False,False,False,True,97,Renault,diesel,brown,3,0,8,2,1,0,0,0,1,1,0,3,0,8
Citroën,87171,135,diesel,silver,estate,False,False,False,False,False,False,False,137,Citroën,diesel,silver,0,0,3,2,1,1,0,0,1,1,1,0,0,3
Citroën,110212,135,diesel,black,estate,False,False,False,False,False,False,False,95,Citroën,diesel,black,0,0,0,2,1,1,0,0,1,1,1,0,0,0
PGO,149525,190,diesel,silver,estate,False,False,False,False,False,False,False,124,PGO,diesel,silver,2,0,3,2,1,1,0,0,1,1,1,2,0,3
Peugeot,122357,105,diesel,grey,estate,False,True,False,False,False,False,True,117,Peugeot,diesel,grey,1,0,4,2,1,0,0,0,1,1,0,1,0,4
Peugeot,158853,100,diesel,black,estate,True,False,False,False,False,False,True,104,Peugeot,diesel,black,1,0,0,2,0,1,0,0,1,1,0,1,0,0
Peugeot,167280,105,diesel,white,estate,False,True,False,False,False,False,True,115,Peugeot,diesel,white,1,0,1,2,1,0,0,0,1,1,0,1,0,1
Citroën,69978,135,diesel,grey,estate,False,False,False,False,False,False,False,134,Citroën,diesel,grey,0,0,4,2,1,1,0,0,1,1,1,0,0,4
Peugeot,105105,105,diesel,white,estate,False,False,False,False,False,False,False,77,Peugeot,diesel,white,1,0,1,2,1,1,0,0,1,1,1,1,0,1
Peugeot,153585,105,diesel,white,estate,False,False,False,False,False,False,False,117,Peugeot,diesel,white,1,0,1,2,1,1,0,0,1,1,1,1,0,1
Audi,156127,190,diesel,black,estate,True,True,False,False,True,True,True,133,Audi,diesel,black,4,0,0,2,0,0,0,0,0,0,0,4,0,0
